"Project","Province","District","Municipality","Capacity (MW)","River","Lic No","Isuue Date","Validity","Promoter","Address","Longitude","Latitude","License Type"
"Hewa khola","Province 1","SANKHUWASABHA","Sabhapokhari","4.455","Hewa Khola","25","1/22/2065","1/21/2100","Barun Hydropower Development Co. Pvt. Ltd","0","87.33111111","27.32041667","Operation"
"Hewa Khola (Chainpur) HEP","Province 1","SANKHUWASABHA","Khandbari","2.5","Hewa Khola","889","5/14/2074","5/13/2076","Chapung Tem Hydropower Pvt. Ltd","Baneshwor, Kathmandu Dipak Kumar Rai","87.26111111","27.30222222","Survey"
"Hewa Khola A","Province 1","PANCHTHAR","Falelung","14.9","Hewa Khola","74","8/21/2069","8/20/2104","Panchthar Power Company Pvt. Ltd.","Hativan 15, Lalitpur, Phone 01-5251003 fax 5251004","87.82055556","27.18083333","Operation"
"Hidi Khola HPP","Province 4","LAMJUNG","Marsyangdi","6.82","Hidi Khola","789","11/24/2073","11/23/2075","North Summit Hydro Pvt.ltd.","Anamnagar-32,Kathmandu, 9851147724,9851121726, P.O Box 19820","84.50236111","28.37861111","Survey"
"Himchuli Dordi Hydropower Project","Province 4","GORKHA","Chum Nubri","57.0","Dordi","699","12/13/2071","12/12/2075","Peoples Hydropower Company Pvt. Ltd","Anamnagar, Kathmandu, Po Box No. 25038","84.57916667","28.32736111","Survey"
"Hongu Khola HPP","Province 1","SANKHUWASABHA","Silichong","21.87","Hongu Khola","799","12/21/2073","12/20/2075","Union Hydropower Ltd","Lalitpur-3, Dhobighat, Phone no. 5525406","86.895","27.55666667","Survey"
"Hongu Khola I HEP","Province 1","SOLUKHUMBU","Mahakulung","18.64","Hongu Khola","857","3/15/2074","3/14/2076","Khare Investment Limited","Bluestar Complex, Tripureshwor, Kathmandu 01-4101140,01-4251080","86.78541667","27.48208333","Survey"
"Humla Karnali 1 HPP","Province 6","HUMLA","Chankheli","235.0","Humla Karnali","998","12/29/2074","12/28/2076","Sichuan Wangping Energy Science and Technology Co. Ltd.","177 Tianfu Ave. Hi-tech Zone, Chengdu, China","81.9875","29.7375","Survey"
"Humla Karnali 2 HPP","Province 6","HUMLA","Sarkegad","335.0","Humla Karnali","999","12/29/2074","12/28/2076","Sichuan Wangping Energy Science and Technology Co. Ltd.","No. 177 Tianfu Ave. Hitech Zone Chengdu, China","81.89569444","29.82319444","Survey"
"Idi Khola SHP","Province 4","KASKI","Madi","0.975","Idi Khola","0","12/1/2072","0/1/0","Idi Hydropower Co.P. Ltd.","P.O.Box: 2838 mobile 9851018118 Email: idihydro@gmail.com","84.11638889","28.23263889","Generation"
"Ikhuwa Khola HEP","Province 1","SANKHUWASABHA","Makalu","30.0","Ikhuwa","1000","1/7/2075","1/6/2077","Upper Arun Hydro Electric Limited","Durbar Marg Kathmandu,9851022252( Bishwo Dhoj Joshi), 01-4153039,4117154,4117163,4153227","87.38652778","27.6","Survey"
"Ilep Tatopani Khola HPP","Province 3","DHADING","Rubi Valley","25.0","Tatopani(Ilep) Khola","708","9/3/2072","9/2/2075","Jalshakti Hydro companu Pvt Ltd","Ward -11, Babarmahal, Kathmandu","85.07152778","28.21458333","Survey"
"Indrawati -III","Province 3","SINDHUPALCHOK","Panchpokhari Thangpal","7.5","Indrawati Khola","7","11/14/2054","9/29/2104","National Hydropower Company Pvt. Ltd.","0","85.605","27.87402778","Operation"
"Irkhuwa Khola Ka HPP","Province 1","BHOJPUR","Salpasilichho","14.1","Irkhuwa Khola","731","3/24/2073","3/23/2075","Estern Hydropower Pvt.Ltd.","P.O.no.26153,Baluwatar,kathmandu 4432068,4227406,9841254097","86.99722222","27.39791667","Survey"
"Irkhuwa Khola-B HPP","Province 1","SANKHUWASABHA","Chichila","15.524","Irkhuwa Khola","222","11/3/2074","11/2/2109","Barah Multi Power Pvt Ltd","House No 171/16 Anamnagar, Gautam Buddha MargaKathmandu , Tel : 4255190, email info@barahamultipower.com","87.08166667","27.40875","Generation"
"Istul Khola HPP","Province 4","GORKHA","Sulikot","1.506","Istul","210","8/14/2074","8/13/2109","Amar Jyoti Hydropower Pvt Ltd","Man Bhavan , Lalitpur -20, PO- 134,Tel: 01-5552175","84.75833333","28.08486111","Generation"
"Isuwa Khola Hydropower Project","Province 1","SANKHUWASABHA","Makalu","97.2","Isuwa Khola","697","11/4/2071","11/3/2075","Dolakha Nirman Company Pvt. Ltd.","Biratnagar -13, Morang,Nepal 021472227","87.21569444","27.59208333","Survey"
"Iwa Khola","Province 1","TAPLEJUNG","Sirijangha","9.9","Iwa Khola","139","3/28/2072","3/27/2107","Rairang Hydropower Development Co Ltd","Trade Tower Building, Thapathali ,Katmandu Tel no 01 5111015","87.84986111","27.28194444","Generation"
"Jagdulla HEP","Province 6","JAJARKOT","Tribeni Nalagad","307.0","Bheri","862","3/18/2074","3/17/2076","Jagdulla Hydropower Company Limited","Thapagaun, Kathmandu","82.57111111","29.06819444","Survey"
"Jaldigad","Province 6","JAJARKOT","Tribeni Nalagad","21.0","Jaldi Gad","786","11/20/2073","11/19/2075","Shangrila Hydropower Pvt. Ltd.","Sinamangal-9, Kathmandu, Phone no 98510265131","82.45694444","28.82916667","Survey"
"Jeuli Gad","Province 7","BAJHANG","Talkot","0.996","Jeuli and Bauli","0","3/22/2072","0/1/0","Rangunkhola Hydropower Pvt.Ltd.","P.O.Box 23330, Kathmandu, Phone 01-4377462","81.15527778","29.59375","Generation"
"Jeuli-Gad Cascade Hydroelectric Project","Province 7","BAJHANG","Talkot","2.0","Jeuli Gad","875","4/15/2074","4/14/2076","Shurma Bhagwati Developers Pvt. Ltd.","Dhangadhi Sub-Metropolitan-4, Kailai, Mo. 9858423199 (Mrs. Laxmi Bhatta)","81.17847222","29.56791667","Survey"
"Jhakre-2 Mini HPP","Province 3","DOLAKHA","Gaurishankar","0.4","Jhakre Khola","0","7/1/2074","6/30/2076","Khimti Gramin Bidhyut Sahakari Sanstha Limited","Shahare -4, Kirne ,Dolakha","86.17277778","27.57097222","Survey"
"Jhankre Mini HPP","Province 3","DOLAKHA","Jiri","0.635","Jhakre Khola","0","10/17/2074","0/1/0","Khimti Gramin Bidhyut Sahakari Sanstha Limited","Kirne, Dolakha, Phone no 9844196798","86.18680556","27.56652778","Operation"
"Jhimruk Aglung HPP","Province 4","BAGLUNG","Nisikhola","1.5","Jhimruk","747","7/5/2073","7/4/2075","Aglung Hydropower Company P.Ltd.","Sandhikhark, Arghakhanchi.9851095535,9841439122","83.02847222","28.24444444","Survey"
"Jhimruk Khola","Province 5","PYUTHAN","Mandavi","12.5","Jhimruk","3_gtd","1/25/2052","12/30/2101","Butwal Power Company","0","82.80986111","28.07333333","Operation"
"Jhyari Khola","Province 3","SINDHUPALCHOK","Chautara SangachokGadhi","2.0","Jhyari Khola","63","0/1/0","2/29/2104","Electrocom and Research Centre, 9851003846","Baneshwor, Kathamandu - 10, Ph. 9851003846,9751000944","85.67736111","27.75902778","Operation"
"Jiri Khola SHP","Province 3","RAMECHHAP","Gokulganga","2.4","Jiri Khola","42","11/17/2067","11/16/2102","Bojini Company (P.) Ltd","Buddhanagar, Kathmandu. G.P.O Box: 8974, 4783532,4782765","86.22833333","27.59875","Operation"
"Jogmai Cascade","Province 1","ILAM","Suryodaya","6.0","Jogmai Khola","686","6/22/2071","6/21/2075","Sanvi Energy Pvt. Ltd.","Kupondole, Lalitpur. PO Box: 9875 EPC 3141","88.00819444","26.90541667","Survey"
"Jogmai Khola","Province 1","ILAM","Maijogmai","7.6","Jogmai Khola","86","12/29/2069","12/28/2104","Sanvi Energy Pvt. Ltd.","G.P. O. Box 8975, EPC 1341 KTM , Pulchok Lalitpur, Phone 5532860","88.03736111","26.91722222","Operation"
"Jum Khola Hydropower Project","Province 3","DOLAKHA","Bigu","62.0","Jum","711","9/9/2072","9/8/2075","Sanima Hydropower Prvt Ltd","Nagpokhari Naxal, Tel. 4446442","86.23152778","27.95875","Survey"
"Jumdi Khola Small","Province 5","GULMI","Kaligandaki","1.75","Jumdi","52","7/7/2068","7/6/2103","Jumdi Hydropower Pvt. Ltd.,","Old Baneshwor, Kathmandu-34, Mobile: 9841662955","83.45222222","28.03458333","Generation"
"Junbeshi","Province 1","SOLUKHUMBU","Solududhakunda","5.2","Junbeshi","80","9/20/2069","9/19/2104","Dobhan Hydropower Pvt.Ltd.","Tinkune, Koteswor, Kathmandu, P.O.Box 23746, Phone 01-4486911","86.55958333","27.56986111","Generation"
"Junbesi Small","Province 1","SOLUKHUMBU","Solududhakunda","0.964","Junbesi Khola","0","2/7/2074","2/6/2076","samiran Rai","Basikhora 1, Bhojpur, 9851155780","86.57541667","27.55375","Survey"
"Jurimba Khola Small Hydropower Project","Province 3","SINDHUPALCHOK","Bhotekoshi","9.824","Jurimba","683","4/15/2071","4/14/2075","Jurimba Hydropower Company Pvt. Ltd","Minbhawan, Kathmandu","85.90611111","27.91472222","Survey"
"Kabeli B - 1","Province 1","TAPLEJUNG","Yangwarak","25.0","Kabeli Khola","98","3/28/2070","3/27/2105","Arun Kabeli Power Limited.","Baneshwor, Ktm, P.O. Box: 11039, Ph: 01-4109801, 4475234, Fax: 4474895","87.80972222","27.28","Generation"
"Kabeli B1 Cascade HPP","Province 1","PANCHTHAR","Yangwarak","9.94","Kabeli Khola","732","4/5/2073","4/4/2075","Arun Valley Hydropower Development Company Ltd.","Trade Tower Nepal, 2 nd floor,Thapathali, Kathmandu","87.77375","27.27388889","Survey"
"Kabeli-3 HEP","Province 1","TAPLEJUNG","Sirijangha","21.93","Kabeli","933","7/20/2074","7/19/2076","Kabeli Hydropower Company Pvt. Ltd","kathmandu-28, 9851030667, GPO Box 24311","87.86972222","27.39013889","Survey"
"Kabeli-A","Province 1","TAPLEJUNG","Sirijangha","37.6","Kabeli Khola","70","5/21/2069","5/20/2104","Kabeli Energy Limited","Budhanagar, GPO Box: 11728, Kathmandu Tel: 4781776","87.72291667","27.26013889","Generation"
"Kalanga","Province 7","BAJHANG","Bungal","15.33","Kalanga Gad","151","12/14/2072","12/13/2107","Kalanga Hydropower P Ltd","Sukedhara, Kathmandu, Po. Box. No. 21399, Phone No. 01-4116052, 01-4116053, Email: info.kghep@gmail.com","80.87916667","29.54069444","Generation"
"Kali Gandaki A","Province 5","PALPA","Tansen","144.0","Kali Gandaki","4","7/21/2053","11/30/2101","Nepal Electricity Authority","0","83.52944444","27.96555556","Operation"
"Kali Gandaki-Kowan","Province 4","MUSTANG","Thasang","400.0","Kali Gandaki","167","0/1/0","4/30/2103","Ambeswor Engineering Hydropower Pvt. Ltd","P.O. Box no 8975 EPC 1834, Phone no 5000300","83.62791667","28.65208333","Generation"
"Kaligandaki Upper","Province 4","MYAGDI","Annapurna","65.0","Kali Gandaki","220","10/24/2074","10/23/2109","Tradelink Global P. Ltd","PO. Box no. 5771, Babarmahal, Kathmandu, Tel No. 4244408","83.59333333","28.40472222","Generation"
"Kaligandki Gorge","Province 4","MYAGDI","Annapurna","164.0","Kali Gandaki","264","9/23/2063","5/22/2075","NECT-HYM JV","P.O.Box 7061, Phone - 014487460","83.64375","28.5625","Survey"
"Kalika Kaligandaki HEP","Province 4","NAWALPARASI_E","Gaidakot","49.5","Kali Gandaki","876","4/16/2074","4/15/2076","Maulakalika Hydropower Company Pvt. Ltd","Purano Baneshwor, Kathmandu, 3851025301, 9813768555 ( Santosh Paudel)","84.335","27.72569444","Survey"
"Kalinchok Small","Province 3","DOLAKHA","Bigu","2.6","Budhekhani khola and Bhumithan","856","3/18/2074","3/17/2076","Himalayan Energy Pvt. Ltd.","Kathmandu-34,","86.06027778","27.79875","Survey"
"Kapadigad","Province 7","KAILALI","Chure","3.3","Kapadigad","111","9/14/2070","9/13/2105","Salmanidevi Hydropower Pvt Ltd","Dhunga Adda, Tinthana-7,KTM, 014316325","80.76736111","29.01041667","Generation"
"Karuwa Seti HEP","Province 4","KASKI","Madi","32.0","Seti","992","12/25/2074","12/24/2076","Jhyamolongma Hydropower Development Company Pvt. Ltd.","kaski, Pokhara, 9849821564, 01-5520254,5543896,5012027","83.97777778","28.38916667","Survey"
"Kasuwa Khola HPP","Province 1","SANKHUWASABHA","Makalu","45.0","Kasuwa","213","9/3/2074","9/2/2109","Kasuwa Hydropower Ltd","Tripureshwor, Kathmandu, Tel: 4101140, 4251080, email: info@kasuwakhola.com.np","87.28277778","27.60555556","Generation"
"Khadigad Khola","Province 6","RUKUM_W","Aathbiskot","0.5","khadigad","0","6/2/2071","0/1/0","Khadigad Khola Mini HP","Rukum","82.48958333","28.79097222","Survey"
"Khani Khola","Province 3","LALITPUR","Bagmati","2.0","Khani Khola","85","11/3/2069","11/2/2104","Khani Khola Hydropower Company Ltd","Baluwatar Kathmandu, P.O.Box 8975,Ph 01-4417220","85.29472222","27.49083333","Operation"
"Khani Khola (Dolakha)","Province 3","DOLAKHA","Gaurishankar","30.0","Khani Khola","92","2/10/2070","2/9/2105","Sasha Engineering Hydropower P. Ltd","Kuleshwor, P. O. Box: 8856, Kathmandu, Nepal. Ph: 4227646, 4220842, Mobile No.: 9851020234","86.30694444","27.80111111","Generation"
"Khani Khola - 1","Province 3","DOLAKHA","Gaurishankar","40.0","Khani Khola","46","1/28/2068","1/27/2103","Green Life Energy Pvt.Ltd,Sirin Bhawan, Lalitpur-1, Kupakdole","P.O.Box 3970, Kathmandu, Phone 01-5010712,Fax- 5010694","86.35","27.81888889","Generation"
"Khani Khola Small HPP","Province 3","DOLAKHA","Gaurishankar","0.979","Khani Khola","0","5/6/2074","5/5/2074","Dwarika prasad acharya,Syangbo Sherpa,Jalandhar Kafle","Bulung 2, Dolakha","86.10583333","27.61972222","Survey"
"Khare Hydropower Project","Province 3","DOLAKHA","Gaurishankar","24.1","Khare","122","1/21/2071","1/20/2106","Constorium Power Developers Pvt Ltd","Sinamangal, Kathmandu, Tel; 4462856, fax: 4462856","86.26666667","27.78","Generation"
"Khatyat Khola SHP","Province 6","MUGU","Khatyad","0.5","Khatyat","0","8/9/2073","0/1/0","Shrijanshil Krishi Sahakari Sanstha Ltd,","Shukdhik VDC, Mugu, Tel: 9848082036, P.O. Box: 20506","81.85625","29.51111111","Generation"
"Khimrung HPP","Province 4","KASKI","Annapurna","9.4","Khimrung","884","0/1/0","4/30/2076","Milan Hydro Pvt. Ltd.","Pokhara-9, Phone no 06153400, 061534000","83.79805556","28.40833333","Survey"
"Khimti -I","Province 3","DOLAKHA","Tamakoshi","60.0","Khimti Khola","1","11/1/2051","10/29/2101","Himal Power Limited","0","86.17555556","27.51319444","Operation"
"Khimti Ghwang Khola Small HPP","Province 3","DOLAKHA","Gaurishankar","9.8","Khimti Khola","852","3/13/2074","3/12/2076","Nil Ganga Hydrpower Company Pvt.Ltd.","Suwidhanagar, Tinkune, Kathmandu-35 Ph. No. 01-4111853, 4111674","86.35347222","27.70097222","Survey"
"Khimti II","Province 3","DOLAKHA","Tamakoshi","48.8","Khimti Khola","179","9/22/2073","9/21/2108","Peoples Hydro sahakari Sastha Limited","Shanti Nagar -34, Kathamandu, P.O.Box 10242, Phone 01-4781891, Fax 01-4781891","86.19861111","27.56944444","Generation"
"Khorunga Khola","Province 1","TERHATHUM","Menchayam","4.8","Khoranga Khola","87","12/29/2069","12/28/2104","Reliable Hydropower Company. P. Ltd","P.O. Box: 516 , Khumaltar, Lalitpur, Nepal. Ph: 5550505","87.54486111","27.17097222","Generation"
"Khudi Khola","Province 4","LAMJUNG","Marsyangdi","4.0","Khudi","16","11/13/2061","11/12/2096","Khudi hydropower limited","0","84.34166667","28.29166667","Operation"
"Kimathanka Arun HEP","Province 1","SANKHUWASABHA","Bhotkhola","450.0","Arun","853","3/13/2074","3/12/2076","Vidhyut Utpadan Company Limited","Thapagaun kathmandu","87.43013889","27.79513889","Survey"
"Kingtang Khola Small HPP","Province 3","DHADING","Rubi Valley","4.0","Kingtang Khola","718","1/14/2073","1/13/2076","Vision Hydro And Elecrtric Pvt.Ltd.","House no.267/95,Jankoshi,Banasthali-16,Kathmandu,4390229","84.99388889","28.02708333","Survey"
"Kisedi KHola HEP","Province 4","LAMJUNG","Dordi","0.998","Kisedi Khola","0","5/6/2074","5/5/2076","CEDB Hydropower Development Company Ltd..","Bluestar complex, Tripureshwor, Kathmandu , Binay Kumar Bhandari 9851115387","84.51708333","28.20291667","Survey"
"Kisedi Khola Small HPP","Province 4","LAMJUNG","Dordi","4.6","Kisedi Khola","788","11/24/2073","11/23/2075","Ana Multipurpose Company Pvt.Ltd.","kathmandu-4,Maharagunj,Kathmandu, Nepal. 4371748,9851168163,9851124993,9843176324","84.48416667","28.19694444","Survey"
"Kule Khani Third","Province 3","MAKAWANPUR","Bhimphedi","14.0","Kulekhani","24","12/17/2064","12/16/2099","Nepal Electricity Authority","0","85.04166667","27.4875","Generation"
"Kulekhani-I","Province 3","MAKAWANPUR","Indrasarowar","60.0","Kulekhani","1_gtd","12/6/2051","11/30/2101","Nepal Electricity Authority","0","85.15986111","27.5825","Operation"
"Kulekhani-II","Province 3","MAKAWANPUR","Bhimphedi","32.0","Kulekhani","1_gtd","12/6/2051","11/30/2101","Nepal Electricity Authority","0","85.09069444","27.51833333","Operation"
"Kunban Khola HPP","Province 4","MYAGDI","Dhaulagiri","8.2","Kunban","809","1/17/2074","1/16/2076","Sushmit Energy Pvt. Ltd.","Kathmandu, Nepal, Phone no 01-5199073, 01-5199454, Sushil pokhrel 9851050406 , Email info@sushmitenergy.com","83.37222222","28.65","Survey"
"Kuwadi Khola Hydropower Project","Province 6","HUMLA","Tanjakot","9.6","Kuwadi","952","8/12/2074","8/10/2076","Reliable Hydropower Company Pvt. Ltd.","Heritage Plaza-2, Kamaladi Kathmnadu-31, Ph. 4169116, 4169117, Post Box No. 516","81.70166667","29.65180556","Survey"
"Kyadusyo Khola Small HEP","Province 4","KASKI","Madi","4.5","Kyadusyo","961","8/25/2074","8/24/2076","J.P Hydropower Pvt. Ltd","Kathmandu, 9851104303","84.1075","28.42722222","Survey"
"Ladku Khola Small HPP","Province 3","KABHREPALANCHOK","Dhulikhel","2.4","Ladku Khola","866","3/27/2074","3/26/2076","Roshi Valley Power Development P. Ltd.","Anamnagar, 9851023025,4102570","85.53652778","27.53472222","Survey"
"Landruk Modi HEP","Province 4","KASKI","Machhapuchchhre","86.59","Modi Khola","822","2/9/2074","2/8/2076","Annapurna Bidhyut Bikas Company","Baneshwor Kathmandu, Ram Prasad Acharya 9851145001","83.86166667","28.44569444","Survey"
"Langdi Khola Small HPP","Province 4","LAMJUNG","Dudhpokhari","4.0","Langdi","865","3/23/2074","3/22/2076","Ujyalo Nepal Hydro Pvt. Ltd.","Katmandu-04","84.6","28.18319444","Survey"
"Langtang Khola Small Hydropower Project","Province 3","RASUWA","Gosaikunda","10.0","Langtang","142","6/1/2072","5/31/2107","Multi Energy Development Pvt. Ltd.","P.O.Box 10242 Kathmandu 10, Phone 01 4781891 email langtangkhola@gmail.com","85.35680556","28.1575","Generation"
"Lankhuwa Khola","Province 1","SANKHUWASABHA","Chichila","5.0","Lankhuwa","200","3/28/2074","3/27/2109","Sabhapokhri Hydropower Pvt Ltd","P.O. Box. 13901, Kusanti, Lalitpur, Tel: 9849447747","87.29583333","27.43541667","Generation"
"Lantang Khola Reservoir Hydropower Project","Province 3","RASUWA","Gosaikunda","310.0","Langtang","780","9/25/2073","9/24/2075","Yeti \world Investment Pvt. Ltd.","Tilganga, Ringroad, Kathmandu. P.O.Box no. 8643 Ph. No. 4465888 Fax. 4465388 mobile no. 9843421881 (Manoj Malla)","85.43763889","28.18125","Survey"
"Lapche Khola","Province 3","DOLAKHA","Bigu","160.0","Lapche","212","9/2/2074","9/1/2109","Nasa Hydropower Company P Ltd","Laxman Babu Bhawan, Naxal, Kathmandu, Phone no 4414355, 4414651, 9801012101, email: info@mvdugarhydro.com","86.19138889","28.01513889","Generation"
"Lapche- Tamakoshi HEP","Province 3","DOLAKHA","Bigu","22.0","Lapche, Tamakoshi","985","11/13/2074","11/12/2076","Dynamic Hydro Energy Pvt. Ltd","Lazimpat, Kathmandu","86.21597222","27.97375","Survey"
"Likhu -1","Province 1","SOLUKHUMBU","Likhupike","77.0","Likhu Khola","145","6/22/2072","6/21/2107","Pan Himay Energy Pvt. Ltd","Ph. 01-4244352, 1815/105 Kantipath, Kathmandu","86.45","27.63819444","Generation"
"Likhu -2","Province 1","SOLUKHUMBU","Likhupike","55.0","Likhu Khola","146","6/22/2072","6/21/2107","Global Hydropower Associate Pvt. Ltd","Kantipath, Kathmandu, Phone no 4225009","86.40597222","27.58736111","Generation"
"Likhu Khola 'A'","Province 1","SOLUKHUMBU","Likhupike","51.0","Likhu Khola","148","7/16/2072","7/15/2107","Numbur Himalaya Hydropower Pvt. Ltd","P.O.Box 4286 Kathmandu, Phone 014478774","86.37152778","27.54458333","Generation"
"Likhu-4","Province 3","RAMECHHAP","Gokulganga","52.4","Likhu Khola","59","11/28/2068","11/27/2098","Green Ventures Pvt. Ltd","P.O.Box 772, Triveni Complex Putalisadak kathmandu, Ph 5544736","86.29166667","27.45819444","Generation"
"Liping Khola","Province 3","SINDHUPALCHOK","Bhotekoshi","16.26","Liping","164","4/12/2073","4/11/2108","Him River Power Pvt. Ltd","RR Complex, 4th Floor, Narayan Chaur, Naxal, Kathmandu; Tel: 4441535, Fax: 44435714; P.O. Box: 3797","85.95194444","27.97930556","Generation"
"Lodo Khola Small HEP","Province 4","LAMJUNG","Dordi","1.73","Lodo Khola","841","2/26/2074","2/26/2076","Liberty Energy Company Ltd.","Thapathali Kathmandu, Atmaram Ghimire 01-4238241","84.53763889","28.26694444","Survey"
"Lohare Khola","Province 6","KALIKOT","Mahawai","4.2","Lohore Khola","105","6/8/2070","6/7/2105","Lohare Khola Hydropower Co. P. L.,","Anamnagar, Kathmandu, POBox 5558, Phone 9841461609","81.80527778","28.90597222","Generation"
"Lomsa HEP","Province 3","RAMECHHAP","Umakunda","1.1","Dhamile- Ghatte","910","6/18/2074","6/17/2076","Pathibhara Hydropower Pvt. Ltd","Kathmandu, 9851023429","86.32583333","27.68694444","Survey"
"Lower Balephi","Province 3","SINDHUPALCHOK","Barhabise","20.0","Balephi","881","4/25/2074","4/24/2076","Sajha Power Development","Buddanagar-10, Kathmandu","85.76180556","27.78361111","Survey"
"Lower Barun Khola HPP","Province 1","SANKHUWASABHA","Bhotkhola","132.0","Barun Khola","681","3/12/2071","3/11/2075","Ampik Energy Pvt Ltd","Sinamangal,Kathmandu , Tel: 5010505,016211581","87.33541667","27.70666667","Survey"
"Lower Bhim Khola HPP","Province 4","BAGLUNG","Galkot","3.6","Bhim Khola","811","1/22/2074","2/21/2076","Shikhar Power Development Pvt. Ltd.","Kathmandu-35, Prakash Baral, Mob. No. 9851133303","83.20513889","28.28986111","Survey"
"Lower Bom Khola HPP","Province 1","SOLUKHUMBU","Khumbupasanglahmu","0.184","Bom Khola","0","4/12/2074","4/11/2076","Lukla Surke Laghu Jalabidhut Upobhokta Samiti","Chaurikharka, Solukhumbu","86.72361111","27.67847222","Survey"
"Lower Chaku Khola","Province 3","SINDHUPALCHOK","Bhotekoshi","1.8","Chaku","26","5/9/2065","5/8/2100","Laughing Buddha Power Nepal Pvt. Ltd","0","85.91833333","27.88597222","Operation"
"Lower Charnawati","Province 3","DOLAKHA","Kalinchok","6.4","Charnawati","706","6/18/2072","6/17/2075","Nepal Hydro Developer Pvt. Ltd","Dillibazar, Kathamdnu 9851132428.PO no.26435","86.05777778","27.62347222","Survey"
"Lower Chhote Khola Small HPP","Province 4","GORKHA","Aarughat","0.997","Chhote","0","4/16/2073","0/1/0","Pashupati Environmental Power Company Pvt. Ltd.","Po. Box no 20968, Kathmandu-16, Kaaldhara, Phone: 4380505","84.88541667","28.17236111","Generation"
"Lower Chirkhuwa","Province 1","SANKHUWASABHA","Khandbari","4.06","Chirkhuwa","196","2/22/2074","2/21/2109","Chirkhuwa Hydropowerr Pvt. Ltd.","P.O.Box 19387, Kathmandu, Phone 01-4770297","87.12527778","27.37930556","Generation"
"Lower Dudkunda HPP","Province 1","SOLUKHUMBU","Dudhkoshi","6.0","Dudh Kunda","874","4/15/2074","4/14/2076","Rakam Chemjung","Bauddha-6, Kathmandu 9851114505","86.59305556","27.56666667","Survey"
"Lower Hewa","Province 1","PANCHTHAR","Phidim","21.6","Hewa Khola","99","4/9/2070","4/8/2105","Mountain Hydro Nepal (P.) Ltd","P.O. Box: 3970, New Baneshwor, Kathmandu, Nepal. Ph: 015525184, 4299844, Fax 01-5525184","87.75638889","27.16","Generation"
"Lower Hewa Khola-A HPP","Province 1","SANKHUWASABHA","Sabhapokhari","7.3","Hewa Khola","722","3/5/2073","3/4/2076","Panch Khapan Hydropower P.Ltd.","Kathmandu-34, Banesor,Nepal,016201315,4116068,panchkhapan hydropower2072@gmail.com","87.29458333","27.30805556","Survey"
"Lower Iguwa Khola Hydro-Electric Project","Province 1","TAPLEJUNG","Sidingba","6.9","Iwa Khola","846","2/26/2074","2/25/2076","Sri Ram Neupane & Srijana Khadka,","Bharatpur-4 Chitwan & Baneshwor-1 Kathmandu Respectively","87.86888889","27.28125","Survey"
"Lower Irkhuwa Khola","Province 1","SANKHUWASABHA","Chichila","14.15","Irkhuwa Khola","219","10/23/2074","10/23/2109","Lower Irkhuwa HP Co PL","Ghattekulo Kathmandu 32, P.O.Box. 19387, Phone 01-5172685, email: irkhuwa@gmail.com","87.11402778","27.41555556","Generation"
"Lower Isuwa Khola HPP","Province 1","SANKHUWASABHA","Bhotkhola","37.7","Isuwa Khola","815","2/1/2074","1/31/2076","Sonam Lama Shrestha","Bouddha-6, Kathmandu P>O 2534, 9818785021","87.25027778","27.55833333","Survey"
"Lower Jhyari Khola Small HPP","Province 3","SINDHUPALCHOK","Jugal","2.5","Jhyari Khola","741","6/9/2073","6/8/2075","Electrocom and Research Center Ltd","Baneshowe-10, Kathmandu 9851133303","85.67930556","27.73541667","Survey"
"Lower Jogmai Khola HPP","Province 1","ILAM","Suryodaya","6.2","Jogmai Khola","787","11/24/2073","11/23/2075","Asian Hydropower Pvt. Ltd","Kathmandu-10 New Baneshwor, P.O. Box 9879, 4491882,4470887, 9851018025","87.97722222","26.89111111","Survey"
"Lower Kalanga Gad Hydroelectric Project","Province 7","BAJHANG","Bungal","8.0","Kalanga Gad","754","8/8/2073","8/7/2075","Bagthala Hydro Pvt.ltd.","Central Business Park ,Thapathali,kathamndu,","80.89111111","29.49583333","Survey"
"Lower Khani-B HEP","Province 3","DOLAKHA","Gaurishankar","6.2","Khani","925","0/1/0","7/30/2076","Koplang Energy Hydropower Pvt.Ltd.","Gokarneshwor-15, Kathmandu","86.32916667","27.81583333","Survey"
"Lower Khare","Province 3","DOLAKHA","Gaurishankar","11.0","Khare","64","3/19/2069","3/18/2104","Universal Power Company P. Ltd","Thapathali KTM, POB : 13961, Ph no: 014261827, 4252216","86.21208333","27.75597222","Generation"
"Lower Khorunga","Province 1","TERHATHUM","Phedap","5.5","Khoranga Khola","165","4/12/2073","4/11/2108","IDS Energy Pvt. Ltd","Heritedge Plaza, Kathmandu, Phone no 4169116, 4169117, Fax no 4169118, Emai info@idsenergy.com","87.55861111","27.14041667","Generation"
"Lower Likhu","Province 3","RAMECHHAP","Umakunda","28.1","Likhu Khola","154","12/28/2072","12/27/2107","Swaita Ganga Hydropower and Construction Pvt. Ltd.","P.O.Box. 439, Naxal, Kathmandu, Phone 01-4415314, 4446442, Fax 01-44412777","86.24097222","27.40513889","Generation"
"Lower Melamchi HEP","Province 3","SINDHUPALCHOK","Helambu","4.0","Melamchi","1013","2/16/2075","2/15/2077","Gugeshwori Energy Pvt. Ltd","Bajramarga, Baudhha Kathmandu","85.53888889","27.98125","Survey"
